날짜,시간,행동,캡처
2025년 02월 21일,17시 16분 05초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,WALKRUN,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,BODYLOWER,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,MOUNTING,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,TAILING,resources/placeholder.gif
2025년 02월 21일,17시 16분 04초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 03초,BODYSHAKE,resources/placeholder.gif
2025년 02월 21일,17시 16분 03초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 03초,TAILLOW,resources/placeholder.gif
2025년 02월 21일,17시 16분 03초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 03초,TAILLOW,resources/placeholder.gif
2025년 02월 21일,17시 16분 03초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 02초,TURN,resources/placeholder.gif
2025년 02월 21일,17시 16분 02초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 01초,BODYSCRATCH,resources/placeholder.gif
2025년 02월 21일,17시 16분 01초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 16분 00초,WALKRUN,resources/placeholder.gif
2025년 02월 21일,17시 15분 59초,행동 없음,resources/placeholder.gif
2025년 02월 21일,17시 15분 57초,BODYSHAKE,resources/placeholder.gif
